Step,dist,comp_time,discarded_paths
0,0.5717033550018895,0.8630110719823278,0
25,0.5991930173523956,0.25985354697331786,0
50,0.6216827148144869,0.26102474197978154,0
75,0.6403176058861443,0.26008239295333624,0
100,0.6550100102633025,0.2583307619788684,0
125,0.6647003292199941,0.26922108902363107,1
150,0.6712333380237868,0.2697764729964547,2
175,0.6784321214869576,0.27839246299117804,9
200,0.6884077162516404,0.26497531204950064,2
225,0.7033816008074005,0.2626935269800015,0
250,0.7226703914674327,0.27056025800993666,3
275,0.7389849754914624,0.2776338580297306,8
300,0.7517850884387363,0.3001354970037937,21
325,0.763485380711581,0.2914234629715793,16
350,0.7730717215318588,0.29420874104835093,8
375,0.7798619194734778,0.2833091799984686,11
400,0.783009082136664,0.2838432760327123,11
425,0.7844871341551292,0.27073484897846356,4
450,0.7897115524949525,0.313428153982386,30
475,0.7957721113045767,0.3881642229971476,75
500,0.7996260047601337,0.4404832769650966,108
525,0.8011175541467171,0.3464189450023696,49
550,0.80325805176785,0.41019039205275476,89
575,0.8083767119744022,0.6703726429841481,248
600,0.8172532219469083,0.8015097430325113,334
625,0.8265663183193623,0.8974461249890737,395
650,0.8341067303187897,0.9991601699730381,455
675,0.8388935737188474,0.8839500240283087,384
700,0.8436627352638996,1.2523505160352215,609
725,0.8478223883659999,0.9398289420059882,417
750,0.8527817792111868,0.8382118989829905,359
775,0.8603008363869992,1.5487246160046197,808
800,0.8701107748447501,2.208420184033457,1221
825,0.8822316367720456,3.148016755003482,1808
850,0.8941446750146805,1.3104029480018653,658
875,0.9020648316474443,0.6350486830342561,233
900,0.9069782039635917,0.44802586402511224,112
925,0.9140751658335733,1.021184908982832,471
950,0.924174192684138,2.1817801580182277,1207
975,0.937317214171672,1.430386563995853,738
1000,0.9539642517613416,0.6081662620417774,215
1025,0.9745011168662112,0.7172770060133189,282
1050,0.9975487876735311,1.3926710239611566,708
1075,1.0176371665945756,1.0260976210120134,481
1100,1.0339505324588838,0.6778929400024936,261
1125,1.0520741556462403,0.8863066049525514,392
1150,1.0726872956112552,0.7771401139907539,312
1175,1.0903614862317799,0.6119121260126121,215
1200,1.1039245914625593,0.6058140150271356,215
1225,1.1150847942296944,0.6558666939963587,246
1250,1.1240757914011306,0.6676023729960434,238
1275,1.1295341773185055,0.6727836729842238,257
1300,1.1364068650547106,1.0980506140040234,518
1325,1.1430868083860874,1.0559574869694188,498
1350,1.1463007902954092,0.9039376250002533,404
1375,1.1469152068306614,0.7991274319938384,336
1400,1.1457390094695978,1.06507553398842,500
1425,1.1415949057720585,1.088709881005343,519
1450,1.135941603197938,0.9087209260324016,405
1475,1.1281918999831309,1.28333848901093,640
1500,1.1164825846447464,1.5759077919647098,817
1525,1.1018268216500977,1.7348384310025722,935
