Step,dist,comp_time,num_opts
0,0.5717033550018895,0.4287743259999388,0
25,0.5991930609877448,0.21790207799995187,0
50,0.6216832462662697,0.22184593099996164,0
75,0.6391731924406554,0.2189068860000134,0
100,0.6516642410746009,0.22319188500000564,1
125,0.6592346258038109,0.23100369400003729,4
150,0.6658540847616381,0.23302912200006176,5
175,0.6735274241704721,0.22949758100003237,7
200,0.6811616599261244,0.2158949910001411,0
225,0.6865909813929814,0.21682811699997728,0
250,0.687941374761293,0.2164340340000308,0
275,0.6856391549641095,0.21559279400003106,0
300,0.6853315705304527,0.22766456499994092,5
325,0.6860281628415174,0.27661747499996636,34
350,0.6878754353301757,0.2881933830001344,42
375,0.6933026984962822,0.3345709339998848,75
400,0.7031659705895158,0.4275186580000536,139
425,0.7130232981341673,0.4396118419999766,151
450,0.7199472175999503,0.3814521999997851,110
475,0.7280104724673365,0.5373110860000452,217
500,0.7397983694169902,0.6721246029999293,316
525,0.7513993064788308,0.6682452279999325,309
550,0.7601052948977186,0.6412742289999187,292
575,0.7661465377027021,0.5757566819997919,246
600,0.7728716915878373,0.9294785619999857,497
625,0.7793036712992684,0.7769296769999983,392
650,0.7827108510481314,0.6636228220002067,311
675,0.7861485996188656,0.9304458940000586,498
700,0.7888792081249812,0.4259453439999561,142
725,0.7890040443802678,0.35778434600001674,94
750,0.7901874266182025,0.4426424179998776,159
775,0.7943606949652039,0.4300080840000646,146
800,0.7985687884499361,0.4718304599998646,176
825,0.8039409783481327,0.5171752220001054,208
850,0.8116108999055126,0.6126880589999928,276
875,0.8213158883137724,0.5700704590001351,244
900,0.8301863300552049,0.6024623729999803,269
925,0.8390087236365417,0.5732408009998835,248
950,0.8471461487725049,0.7918247409998003,402
975,0.8525066291139848,0.7034535709999545,341
1000,0.8554586224440097,0.9054738320000979,486
1025,0.8590095679909703,0.9753122050001366,531
1050,0.8649923352872122,1.3276199460001408,784
1075,0.8704223491230688,1.3056125880000309,771
1100,0.8732266554923913,1.32199879399991,780
1125,0.8761320904457903,1.614120445999788,987
1150,0.8783637781651461,1.7299860590001117,1073
1175,0.8803800650853011,2.0722171919999255,1302
1200,0.8814063212445218,2.104541389999895,1331
1225,0.8819160637458469,2.6783370309999555,1733
1250,0.8811124832854766,2.644338156999993,1733
1275,0.8764621374452207,2.422245377000081,1567
1300,0.8676078828603189,2.549472917000003,1654
1325,0.8540771445553081,2.3199145239998415,1479
1350,0.8387249958169972,3.8241740220000793,2527
1375,0.8204667135568575,3.428626799000085,2256
1400,0.7998587131655333,4.477968819000125,3007
1425,0.7758862283851486,4.460319265999942,3002
1450,0.7449266412787902,4.229583204000164,2842
1475,0.7111926682785064,5.230689686000005,3540
1500,0.6789077391140002,6.714040615000158,4575
1525,0.6438078224570213,6.503562782000017,4403
1550,0.6076493517158674,7.468615387,5092
1575,0.5750951925935144,7.3726299519998975,5040
1600,0.5464463990795264,4.67701965099991,3139
1625,0.5243095755138604,2.3081389510000463,1440
1650,0.5043048259223057,0.5965047960000902,259
1675,0.4886377559744434,0.3060193500000423,56
1700,0.4798783372938351,0.5229285090001667,209
1725,0.47713938993662414,0.2837251139999353,42
1750,0.4754212906341776,0.2366789970001264,9
1775,0.47739470447491633,0.2189196650001577,0
1800,0.4798472598839727,0.21611927899994043,0
1825,0.4835827112721025,0.21754664300010518,0
1850,0.4916635531237767,0.2193016029998489,0
1875,0.49831921506507226,0.21413814700008516,0
1900,0.5055322202561533,0.21238700399999288,0
1925,0.5120773045177316,0.21270229900005688,0
1950,0.5187028676249535,0.2194214359999478,0
1975,0.5234059632391547,0.214312487999905,0
2000,0.5285377002434377,0.21739893200015104,0
2025,0.5328244355169893,0.21918734199994105,0
