Step,dist,comp_time,discarded_paths
0,0.5717033550018895,1.0111231110058725,0
25,0.5991930896414743,0.4810888710198924,0
50,0.6216848099589484,0.48488092597108334,0
75,0.6391772122118671,0.49331635801354423,0
100,0.6525073378678943,0.4584512390429154,0
125,0.6633897894279641,0.4867514949874021,0
150,0.6723368701846913,0.4564601099700667,6
175,0.6800804970967916,0.44884960498893633,9
200,0.6886168526064381,0.46172531496267766,10
225,0.6984529898471582,0.43287020397838205,5
250,0.7131196701948519,0.43761016405187547,3
275,0.7322878591229333,0.4454680969938636,1
300,0.7491252525769528,0.43763099698117003,3
325,0.7643514576837591,0.44375320902327076,8
350,0.7790678514781443,0.44444371201097965,10
375,0.7962274415479393,0.43657494097715244,12
400,0.8183961740137599,0.43812517903279513,0
425,0.8441506256355318,0.4381837040418759,8
450,0.8692967098677413,0.43496584304375574,12
475,0.8923612562524418,0.43941679398994893,23
500,0.9129635411203358,0.44092163402820006,58
525,0.9362145693728207,0.49795793800149113,23
550,0.9618741384578972,0.489712534006685,25
575,0.9844376704112436,0.4751467469613999,58
600,1.0060068708148133,0.4883651180425659,45
625,1.0266788407156358,0.4353325210395269,36
650,1.0458300721949576,0.44129850901663303,70
675,1.0626545511192482,0.43956348102074116,66
700,1.0758206741976717,0.43709674902493134,57
725,1.0873428458246865,0.4514524239930324,35
750,1.0990060868816438,0.43795059801777825,48
775,1.1127296438766292,0.4381411990034394,161
800,1.127752686881367,0.43655309203313664,258
825,1.140925181427889,0.43378247699001804,410
850,1.1508075813532495,0.4339554139878601,429
875,1.1585769771120225,0.43664436298422515,292
900,1.1685498711415327,0.43154541397234425,658
925,1.1776158323864034,0.45106638298602775,550
950,1.1834998744588796,0.43845739698735997,481
975,1.1860367141209807,0.43343284097500145,541
1000,1.1865237604878103,0.43313490599393845,392
1025,1.1888510283521654,0.4378512450493872,208
1050,1.1947155857226284,0.4381304669659585,523
1075,1.2036159039737582,0.435019763011951,1237
1100,1.2152960692647747,0.43042303004767746,1792
1125,1.2298751826415364,0.44698618800612167,2923
1150,1.2463799280364087,0.4293349729850888,1796
1175,1.2603716270441512,0.4332043390022591,943
1200,1.2758871995913628,0.43915908300550655,1068
1225,1.2952113589877179,0.43003808899084106,3051
1250,1.3184523105046164,0.430146714032162,2124
1275,1.3410944760578216,0.42993826896417886,1979
1300,1.359240166815458,0.43307389999972656,545
1325,1.372924221500781,0.450199608982075,383
1350,1.3823414010117716,0.432565358991269,348
1375,1.3878031436826461,0.4356344940024428,346
1400,1.3903130373074404,0.43741168902488425,326
1425,1.3897861926530786,0.4339303550077602,312
1450,1.3863939669392786,0.4342149969888851,281
1475,1.3818061593076525,0.43711718899430707,145
1500,1.3774333797811797,0.4388928829575889,371
1525,1.374847524078758,0.44774412200786173,1128
1550,1.3738610193019694,0.46135651000076905,1041
1575,1.3709438633446294,0.4332780910190195,1385
1600,1.3647283785192572,0.43716849898919463,1242
1625,1.3555207464130161,0.4314549579867162,1625
1650,1.3419003946006107,0.4302352970116772,1909
1675,1.3232160102883368,0.43506405799416825,1912
1700,1.2985305078132015,0.4325805730186403,2213
1725,1.2687825767929946,0.4508998300298117,2087
1750,1.2346694642352305,0.4330851989798248,2424
1775,1.1948889636149655,0.4349743180209771,3317
1800,1.150265933541053,0.4347660230123438,2453
1825,1.1004560427470012,0.43243384803645313,449
1850,1.0443623638760644,0.4306097240187228,70
1875,0.9871490634005602,0.4347321820096113,202
1900,0.9339264120089483,0.4297504120040685,47
1925,0.886065582644099,0.4531564009957947,2
1950,0.8437796620622412,0.43115320504875854,2
1975,0.8071073911684019,0.4338563120109029,0
2000,0.775970424368085,0.43106127600185573,1
2025,0.7491053776283868,0.4369184050010517,0
2050,0.7251965618884654,0.4354388939682394,0
2075,0.7043517241472138,0.4353234759764746,0
2100,0.6867343336205936,0.43492144701303914,0
2125,0.6726070095359723,0.4506800579838455,0
2150,0.6576919183882612,0.43531940097454935,0
2175,0.6431967639051975,0.43950476800091565,0
2200,0.6304967123328868,0.435896490002051,0
2225,0.6202492890782875,0.43294004997005686,0
2250,0.6122006630463173,0.4310605769860558,0
2275,0.607766021815391,0.4326548380195163,0
2300,0.6044691766589946,0.43217612901935354,0
2325,0.6018408883167934,0.45726999099133536,0
2350,0.5987224196158402,0.4440164460102096,0
2375,0.5935062173851359,0.4337410269654356,0
2400,0.5889319275460635,0.4370774950366467,0
2425,0.5865210249537267,0.43612329300958663,0
2450,0.5870927049019149,0.4369591120048426,0
2475,0.5885211678438695,0.4363186409464106,0
2500,0.5881265480929977,0.44495771097717807,0
2525,0.58727515744164,0.4921322460286319,0
2550,0.5837269400415906,0.476896621985361,0
2575,0.581147712021329,0.4722762599703856,0
2600,0.5791117553935082,0.4382288529886864,0
