Step,dist,comp_time,num_opts
0,0.5717033550018895,0.9437579049845226,0
25,0.599289076983599,0.5494940349890385,0
50,0.6223798649517092,0.5513463859970216,0
75,0.6430623723870968,0.5561697249941062,0
100,0.6609921313255147,0.5550183169834781,0
125,0.6742820251790047,0.5498988509934861,0
150,0.6849640408306007,0.5559146830055397,1
175,0.6933204211446763,0.5647312949877232,9
200,0.7032340636312411,0.5452396780019626,0
225,0.7181365632468993,0.5570510669786017,2
250,0.7378363993615826,0.5513293749827426,0
275,0.7560621934870463,0.5597864350129385,0
300,0.7704545046713256,0.5722729209810495,18
325,0.7844259847503922,0.5541219829756301,1
350,0.8030367390615557,0.5527235869958531,3
375,0.8265293610117947,0.5560935089888517,1
400,0.8490366261972927,0.5734083830029704,15
425,0.8678414880116545,0.6042737559764646,46
450,0.8852446081010541,0.6230100179964211,55
475,0.9053459726302355,0.5719745810201857,17
500,0.928687349956304,0.573098494001897,17
525,0.9513695670206013,0.5804076909844298,25
550,0.9728542918655934,0.6257089079881553,63
575,0.9945694951805817,0.6007697339809965,42
600,1.0192187161501953,0.5894962740130723,32
625,1.0435063698034803,0.6267344340158161,56
650,1.0685125181662714,0.6016043609997723,44
675,1.095795771517223,0.604823171015596,46
700,1.1219221376871482,0.6491267000092193,80
725,1.1477240630544616,0.6204892940004356,60
750,1.1730691755630405,0.6163830109871924,59
775,1.1969370819876295,0.632350165018579,64
800,1.2176727935622988,0.601455366006121,44
825,1.2354184389028315,0.6223200719978195,39
850,1.2525977973210354,0.663155543996254,75
875,1.2700153826768636,0.6033027680241503,39
900,1.2877688360081125,0.6188815619971137,33
925,1.3057444700325447,0.598092065018136,27
950,1.3218782568675358,0.761014788004104,158
975,1.3348790295055235,1.174019259022316,552
1000,1.3450138436825847,1.0233841429871973,417
1025,1.3527213296458904,1.0553786420205142,429
1050,1.357499936432379,0.9486599789815955,345
1075,1.359174976058637,0.9442186550004408,349
1100,1.359206070457722,0.9381386149907485,317
1125,1.3583397670688555,0.9688253969943617,370
1150,1.3593538644458207,0.7712023290223442,194
1175,1.3636058165473657,1.3414542230020743,692
1200,1.3705190437233283,2.2457326049916446,1515
1225,1.379986744636651,2.7009994010149967,1816
1250,1.3923803216127502,1.4781254260160495,782
1275,1.4082019787982534,3.1881769569881726,2339
1300,1.4270430228945965,2.693187677010428,1914
1325,1.4455571823127156,2.535543083009543,1768
1350,1.4661981326822715,2.2708064960024785,1542
1375,1.4888776637220333,2.7126543449994642,1910
1400,1.5080148684885513,1.3280316770251375,692
1425,1.5228242564681205,0.8854914489784278,298
1450,1.5333098594047467,0.9475632399844471,348
1475,1.5403750699536738,1.0177220269979443,418
1500,1.5452719388139482,0.9166429470060393,324
1525,1.5484065726416338,1.1180808329954743,501
1550,1.5484719789238695,1.0199803489958867,405
1575,1.545460472437448,0.9808169350144453,382
1600,1.5396658806133665,1.0717780689883512,466
1625,1.5327655721010978,1.017123282974353,415
1650,1.5239681574758797,1.2149944760021754,550
1675,1.5123750689202844,1.3702153570193332,717
1700,1.4977735882203898,1.5526716420135926,871
1725,1.479402765480136,1.9688260820112191,1224
1750,1.4574917219045878,1.6346155760111287,960
1775,1.4312305097289715,2.6060718029912096,1810
1800,1.3981355868192475,3.6158092049881816,2704
1825,1.3569229445428928,4.2161259219865315,3071
1850,1.3072277599678888,1.3844355609908234,661
1875,1.2518546457250903,1.3687129460158758,672
1900,1.1913825503495303,0.676171218015952,96
1925,1.1244758397218575,0.6582817999878898,58
1950,1.0571630507297514,0.5939402639924083,8
1975,0.9944376729691511,0.5828282570000738,1
2000,0.934275461141773,0.5896743180055637,1
2025,0.8755355967363418,0.5674426580080763,0
2050,0.8190237747652429,0.5745004750206135,0
2075,0.7655150388164368,0.5595096569741145,0
2100,0.7161089354705693,0.5963511999871116,0
2125,0.6712467013166216,0.5907930890098214,0
2150,0.6308599314836455,0.5642025590059347,0
2175,0.5962811578059463,0.5786430989974178,0
2200,0.5670208043442089,0.5574740309966728,0
2225,0.5420734809920442,0.5462454429944046,0
2250,0.5216362336222257,0.5503426429932006,0
2275,0.5042006849627012,0.5485561729874462,0
2300,0.48794596525259526,0.5496360520191956,0
2325,0.4723013932678587,0.55043192699668,0
2350,0.4590653041880794,0.5556775180157274,0
2375,0.44999500406514087,0.5483839299995452,0
2400,0.44457214883729096,0.5489997469994705,0
2425,0.4406179487378536,0.5423348269832786,0
2450,0.43935510402386024,0.5473236090037972,0
2475,0.441409345765202,0.5399065329984296,0
2500,0.4463167538189769,0.5406802489887923,0
2525,0.456164744394807,0.5492085829901043,0
2550,0.46525876232050534,0.5426165039825719,0
2575,0.47476525301190414,0.5493512969987933,0
2600,0.4836609202175204,0.5422800689993892,0
2625,0.49313938284457504,0.5480889229802415,0
2650,0.5020643194144634,0.5451737209805287,0
2675,0.5106421389964845,0.5444697790080681,0
2700,0.5168233078120528,0.5471467840252444,0
2725,0.5209265417225056,0.5583262169966474,0
2750,0.5256160930732685,0.5460705620062072,0
2775,0.5279872885817085,0.5413570139789954,0
2800,0.5315805189872744,0.5702101819915697,0
2825,0.5337381819551098,0.5438984100183006,0
2850,0.5356247046629604,0.5480395229824353,0
2875,0.536922969131686,0.5495969929907005,0
2900,0.5405997301923733,0.5503175499907229,0
2925,0.5451623424258069,0.5483836409985088,0
2950,0.5480850602834351,0.5525056199985556,0
2975,0.5504650913973439,0.5471034859947395,0
3000,0.5544401923008333,0.5502573090197984,0
3025,0.557392163564315,0.5494425530196168,0
3050,0.5568059102680036,0.5583274730015546,0
3075,0.5282841722405399,0.5652095710102003,0
3100,0.5002015742216258,0.5318003270076588,0
3125,0.4735122399533547,0.4865131740225479,0
3150,0.44685286940736557,0.4544057610037271,0
3175,0.41987360565002546,0.4212952349917032,0
3200,0.38981404463224467,0.38976454798830673,0
3225,0.3603461099116703,0.35683985697687604,0
3250,0.33255802638249565,0.3263946099905297,0
3275,0.3015397605615533,0.30014923299313523,0
3300,0.27207454891190175,0.2638232660247013,0
3325,0.24498753524357075,0.23329391499282792,0
3350,0.2151306857811677,0.20135084399953485,0
3375,0.18409411016904817,0.1690495949878823,0
3400,0.15175980355628554,0.13748229600605555,0
3425,0.11801654884473607,0.10502553801052272,0
3450,0.0860171215696134,0.07456164999166504,0
3475,0.0547728145949329,0.04298786501749419,0
3500,0.02532377641713463,0.01029088202631101,0
