v_nom,v_q1,v_q2,v_q3,w_nom,w_q1,w_q2,w_q3,x,y,obs_x
5.207268167477217,5.207268167477217,5.207268167477217,5.207268167477217,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0,0.0,6.0
5.207268167477217,5.207268167477218,5.207268167477218,5.207268167477218,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,8e-06,0.0,5.999732441471572
5.207268167477217,5.207268167477218,5.207268167477218,5.207268167477218,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,2.3999999992799997e-05,4.79999999928e-10,5.999464882943144
5.207268167477217,5.207268167477217,5.207268167477217,5.207268167477217,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,4.799999989559999e-05,2.6399999970120003e-09,5.999197324414716
5.207268167477217,5.207268167477217,5.207268167477217,5.207268167477217,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,7.999999937719999e-05,8.399999965908e-09,5.998929765886287
5.207268167477217,5.207268167477216,5.207268167477216,5.207268167477216,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.00011999999757720002,2.0399999785908e-08,5.998662207357859
5.207268167477217,5.207268167477218,5.207268167477218,5.207268167477218,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0001679999927172001,4.1999999056908e-08,5.998394648829431
5.207268167477217,5.207268167477217,5.207268167477217,5.207268167477217,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.00022399998160400048,7.727999672313605e-08,5.998127090301003
5.207268167477217,5.207268167477218,5.207268167477218,5.207268167477218,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0002879999590248018,1.3103999040096026e-07,5.997859531772575
5.207268167477217,5.207268167477219,5.207268167477219,5.207268167477219,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0003599999170344059,2.0879997528441715e-07,5.997591973244147
5.207268167477217,5.207268167477219,5.207268167477219,5.207268167477219,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.000439999844134417,3.1679994247942015e-07,5.997324414715719
5.207268167477217,5.207268167477216,5.207268167477216,5.207268167477216,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0005279997243444442,4.6199987659492916e-07,5.997056856187291
5.207268167477217,5.207268167477218,5.207268167477218,5.207268167477218,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0006239995361653057,6.520797523966816e-07,5.996789297658863
5.207268167477217,5.207268167477217,5.207268167477217,5.207268167477217,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0007279992514342356,8.954395303064065e-07,5.996521739130435
5.207268167477217,5.207268167477218,5.207268167477218,5.207268167477218,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0008399988340720949,1.2011991505067643e-06,5.996254180602007
5.207268167477217,5.207268167477218,5.207268167477218,5.207268167477218,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0009599982387225873,1.5791985253895747e-06,5.995986622073579
5.207268167477217,5.207268167477217,5.207268167477217,5.207268167477217,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.001087997409283483,2.0399975300622197e-06,5.995719063545151
5.207268167477217,5.207268167477215,5.207268167477215,5.207268167477215,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0012239962773298533,2.5948759906044294e-06,5.995451505016723
5.207268167477217,5.207268167477217,5.207268167477217,5.207268167477217,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0013679947604293165,3.2558336697449785e-06,5.995183946488294
5.207268167477217,5.207268167477217,5.207268167477217,5.207268167477217,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.001519992760349303,4.0355902496051555e-06,5.994916387959866
5.207268167477217,5.207268167477217,5.207268167477217,5.207268167477217,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0016799901611563404,4.947585311133179e-06,5.994648829431438
5.207268167477217,5.207268167477216,5.207268167477216,5.207268167477216,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0018479868272073675,6.005978309831074e-06,5.99438127090301
5.207268167477217,5.207268167477217,5.207268167477217,5.207268167477217,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.002023982601033081,7.225648547352845e-06,5.994113712374582
5.207268167477217,5.207268167477216,5.207268167477216,5.207268167477216,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0022079773011133242,8.622195138530114e-06,5.993846153846154
5.207268167477217,5.207268167477217,5.207268167477217,5.207268167477217,2.132970273339029,2.132970273339029,2.132970273339029,2.132970273339029,0.0023999707195445264,1.021193697335872e-05,5.993578595317726
4.01318295476867,4.01318295476867,4.01318295476867,4.01318295476867,-4.618212979641609,-4.618212979641609,-4.618212979641609,-4.618212979641609,0.0025999626195992013,1.2011912673457137e-05,5.993311036789297
4.01318295476867,4.013182954768671,4.013182954768671,4.013182954768671,-4.618212979641609,-4.618212979641609,-4.618212979641609,-4.618212979641609,0.0028079527331775207,1.4039880542484861e-05,5.993043478260869
4.01318295476867,4.013182954768671,4.013182954768671,4.013182954768671,-4.618212979641609,-4.618212979641609,-4.618212979641609,-4.618212979641609,0.003023940894228471,1.6301359224401702e-05,5.992775919732441
4.01318295476867,4.013182954768669,4.013182954768669,4.013182954768669,-4.618212979641609,-4.618212979641609,-4.618212979641609,-4.618212979641609,0.0032479269452660455,1.8801147334046058e-05,5.992508361204013
