Step,x,y,obs_x,obs_y,u_nom_v,u_nom_w,us0v,us0w,us1v,us1w,us2v,us2w
62,0.008455071925875505,0.008837966019811879,1.6912056737588652,1.6912056737588652,4.043048526357425,-2.716990243996369,0.31199992,0.8099997,0.31199992,0.8099997,0.31199992,0.8099997
63,0.008666045315038085,0.009067822882429008,1.691063829787234,1.691063829787234,4.043048526357425,-2.716990243996369,0.31199992,0.8099997,0.31199992,0.8099997,0.31199992,0.8099997
64,0.008876832451020493,0.009297850558005817,1.6909219858156028,1.6909219858156028,4.043048526357425,-2.716990243996369,0.31199992,0.8099997,0.31199992,0.8099997,0.31199992,0.8099997
65,0.009087433195525399,0.009528048895621264,1.6907801418439716,1.6907801418439716,4.043048526357425,-2.716990243996369,0.31199992,0.8099997,0.31199992,0.8099997,0.31199992,0.8099997
66,0.00929784741037776,0.00975841774424234,1.6906382978723404,1.6906382978723404,4.043048526357425,-2.716990243996369,0.3199999,0.77999973,0.3199999,0.77999973,0.3199999,0.77999973
67,0.00951346539972831,0.009994868206010423,1.6904964539007092,1.6904964539007092,4.043048526357425,-2.716990243996369,0.3279999,0.74999976,0.3279999,0.74999976,0.3279999,0.74999976
68,0.009734284721997678,0.010237402233838505,1.690354609929078,1.690354609929078,4.043048526357425,-2.716990243996369,0.33599988,0.7199998,0.33599988,0.7199998,0.33599988,0.7199998
69,0.009960303473398803,0.010486021301615538,1.6902127659574468,1.6902127659574468,4.043048526357425,-2.716990243996369,0.34399986,0.6899998,0.34399986,0.6899998,0.34399986,0.6899998
70,0.010191520288809137,0.010740726405194365,1.6900709219858157,1.6900709219858157,4.043048526357425,-2.716990243996369,0.35199985,0.65999985,0.35199985,0.65999985,0.35199985,0.65999985
71,0.01042793434256965,0.01100151806330021,1.6899290780141845,1.6899290780141845,4.043048526357425,-2.716990243996369,0.35999984,0.6299999,0.35999984,0.6299999,0.35999984,0.6299999
72,0.010669545349210866,0.011268396318359507,1.689787234042553,1.689787234042553,4.043048526357425,-2.716990243996369,0.36799982,0.5999999,0.36799982,0.5999999,0.36799982,0.5999999
73,0.010916353564106187,0.011541360737248837,1.6896453900709218,1.6896453900709218,4.043048526357425,-2.716990243996369,0.3759998,0.56999993,0.3759998,0.56999993,0.3759998,0.56999993
74,0.01116835978405271,0.011820410411963791,1.6895035460992907,1.6895035460992907,4.043048526357425,-2.716990243996369,0.3839998,0.53999996,0.3839998,0.53999996,0.3839998,0.53999996
75,0.01142556534777974,0.012105543960207582,1.6893617021276595,1.6893617021276595,5.2330265068462385,-4.134627953032757,0.39199978,0.51,0.39199978,0.51,0.39199978,0.51
76,0.011687972136385205,0.012396759525899222,1.6892198581560283,1.6892198581560283,5.2330265068462385,-4.134627953032757,0.39999977,0.48,0.39999977,0.48,0.39999977,0.48
77,0.011955582573700118,0.012694054779601133,1.689078014184397,1.689078014184397,5.2330265068462385,-4.134627953032757,0.40799975,0.45,0.40799975,0.45,0.40799975,0.45
78,0.01222839962658993,0.012997426918858237,1.6889361702127659,1.6889361702127659,5.2330265068462385,-4.134627953032757,0.41599974,0.42,0.41599974,0.42,0.41599974,0.42
79,0.012506426805167399,0.013306872668471385,1.6887943262411347,1.6887943262411347,5.2330265068462385,-4.134627953032757,0.42399973,0.39,0.42399973,0.39,0.42399973,0.39
80,0.012789668162942079,0.01362238828068249,1.6886524822695035,1.6886524822695035,5.2330265068462385,-4.134627953032757,0.4319997,0.35999998,0.4319997,0.35999998,0.4319997,0.35999998
81,0.013078128296898374,0.013943969535278641,1.6885106382978723,1.6885106382978723,5.2330265068462385,-4.134627953032757,0.4399997,0.32999998,0.4399997,0.32999998,0.4399997,0.32999998
82,0.01337181234750226,0.014271611739615116,1.688368794326241,1.688368794326241,5.2330265068462385,-4.134627953032757,0.4479997,0.29999998,0.4479997,0.29999998,0.4479997,0.29999998
83,0.013670725998636717,0.014605309728557234,1.68822695035461,1.68822695035461,5.2330265068462385,-4.134627953032757,0.45599967,0.26999998,0.45599967,0.26999998,0.45599967,0.26999998
84,0.013974875477465943,0.014945057864341018,1.6880851063829787,1.6880851063829787,5.2330265068462385,-4.134627953032757,0.46399966,0.23999998,0.46399966,0.23999998,0.46399966,0.23999998
85,0.01428426755422838,0.015290850036352617,1.6879432624113475,1.6879432624113475,5.2330265068462385,-4.134627953032757,0.47199965,0.20999998,0.47199965,0.20999998,0.47199965,0.20999998
86,0.014598909541958563,0.015642679660826483,1.6878014184397163,1.6878014184397163,5.2330265068462385,-4.134627953032757,0.47999963,0.17999998,0.47999963,0.17999998,0.47999963,0.17999998
87,0.014918809296137803,0.01600053968046232,1.6876595744680851,1.6876595744680851,5.2330265068462385,-4.134627953032757,0.48799962,0.14999998,0.48799962,0.14999998,0.48799962,0.14999998
88,0.015243975214273677,0.01636442256396078,1.687517730496454,1.687517730496454,5.2330265068462385,-4.134627953032757,0.4959996,0.119999975,0.4959996,0.119999975,0.4959996,0.119999975
89,0.015574416235408303,0.016734320305477987,1.6873758865248227,1.6873758865248227,5.2330265068462385,-4.134627953032757,0.5039996,0.089999974,0.5039996,0.089999974,0.5039996,0.089999974
90,0.01591014183955534,0.017110224423998895,1.6872340425531915,1.6872340425531915,5.2330265068462385,-4.134627953032757,0.5119996,0.059999973,0.5119996,0.059999973,0.5119996,0.059999973
91,0.016251162056117263,0.017492125972766264,1.6870921985815603,1.6870921985815603,5.2330265068462385,-4.134627953032757,0.5199996,0.029999973,0.5199996,0.029999973,0.5199996,0.029999973
92,0.016597487445075162,0.0178800155182196,1.686950354609929,1.686950354609929,5.2330265068462385,-4.134627953032757,0.52799964,-2.6747584e-08,0.52799964,-2.6747584e-08,0.52799964,-2.6747584e-08
93,0.01694912910526521,0.018273883149260282,1.6868085106382977,1.6868085106382977,5.2330265068462385,-4.134627953032757,0.53599966,-0.030000027,0.53599966,-0.030000027,0.53599966,-0.030000027
94,0.017306098673529727,0.018673718476301098,1.6866666666666665,1.6866666666666665,5.2330265068462385,-4.134627953032757,0.5439997,-0.06000003,0.5439997,-0.06000003,0.5439997,-0.06000003
95,0.017668408323796486,0.019079510630235046,1.6865248226950353,1.6865248226950353,5.2330265068462385,-4.134627953032757,0.5519997,-0.090000026,0.5519997,-0.090000026,0.5519997,-0.090000026
96,0.01803607076608607,0.019491248261323594,1.6863829787234041,1.6863829787234041,5.2330265068462385,-4.134627953032757,0.5599997,-0.12000003,0.5599997,-0.12000003,0.5599997,-0.12000003
97,0.018409099245447143,0.019908919538004548,1.686241134751773,1.686241134751773,5.2330265068462385,-4.134627953032757,0.5679997,-0.15000002,0.5679997,-0.15000002,0.5679997,-0.15000002
98,0.018787507540819436,0.02033251214561963,1.6860992907801418,1.6860992907801418,5.2330265068462385,-4.134627953032757,0.57599974,-0.18000002,0.57599974,-0.18000002,0.57599974,-0.18000002
99,0.01917130996382424,0.020762013285062046,1.6859574468085106,1.6859574468085106,5.2330265068462385,-4.134627953032757,0.58399975,-0.21000002,0.58399975,-0.21000002,0.58399975,-0.21000002
100,0.01956052135748219,0.02119740967134414,1.6858156028368794,1.6858156028368794,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
101,0.01995515709485811,0.02163868753208544,1.6856737588652482,1.6856737588652482,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
102,0.02034989884647235,0.022079870800442457,1.685531914893617,1.685531914893617,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
103,0.020744746470712196,0.02252095931806427,1.6853900709219858,1.6853900709219858,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
104,0.02113969994483442,0.022961953059544172,1.6852482269503546,1.6852482269503546,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
105,0.021534759246089698,0.02340285199948092,1.6851063829787234,1.6851063829787234,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
106,0.02192992435172261,0.023843656112478732,1.6849645390070922,1.6849645390070922,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
107,0.02232519523897164,0.024284365373147286,1.684822695035461,1.684822695035461,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
108,0.022720571885069183,0.02472497975610172,1.6846808510638298,1.6846808510638298,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
109,0.02311605426724154,0.025165499235962643,1.6845390070921986,1.6845390070921986,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
110,0.023511642362708914,0.025605923787356127,1.6843971631205674,1.6843971631205674,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
111,0.023907336148685433,0.026046253384913714,1.6842553191489362,1.6842553191489362,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
112,0.02430313560237913,0.026486488003272413,1.684113475177305,1.684113475177305,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
113,0.02469904070099195,0.026926627617074705,1.6839716312056736,1.6839716312056736,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
114,0.025095051421719757,0.027366672200968545,1.6838297872340424,1.6838297872340424,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
115,0.025491167741752325,0.027806621729607357,1.6836879432624112,1.6836879432624112,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
116,0.02588738963827335,0.028246476177650047,1.68354609929078,1.68354609929078,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
117,0.026283717088460452,0.028686235519760992,1.6834042553191488,1.6834042553191488,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
118,0.02668015006948516,0.02912589973061005,1.6832624113475176,1.6832624113475176,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
119,0.027076688558512932,0.02956546878487255,1.6831205673758864,1.6831205673758864,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
120,0.027473332532703145,0.030004942657229316,1.6829787234042553,1.6829787234042553,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
121,0.027870081969209103,0.030444321322366647,1.682836879432624,1.682836879432624,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
122,0.02826693684517803,0.03088360475497633,1.6826950354609929,1.6826950354609929,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
123,0.028663897137751086,0.03132279292975563,1.6825531914893617,1.6825531914893617,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
124,0.02906096282406335,0.0317618858214073,1.6824113475177305,1.6824113475177305,4.157934941484692,-1.7179563293512998,0.59199977,-0.24000002,0.59199977,-0.24000002,0.59199977,-0.24000002
125,0.02945813388124384,0.03220088340463959,1.6822695035460993,1.6822695035460993,4.539307250276397,-1.6135184686496757,0.5999998,-0.27,0.5999998,-0.27,0.5999998,-0.27
126,0.02986077888857831,0.03264571676795855,1.682127659574468,1.682127659574468,4.539307250276397,-1.6135184686496757,0.6079998,-0.3,0.6079998,-0.3,0.6079998,-0.3
127,0.030268914189615678,0.033096371064961855,1.6819858156028369,1.6819858156028369,4.539307250276397,-1.6135184686496757,0.6159998,-0.33,0.6159998,-0.33,0.6159998,-0.33
128,0.03068255665060436,0.03355283095381848,1.6818439716312057,1.6818439716312057,4.539307250276397,-1.6135184686496757,0.62399983,-0.36,0.62399983,-0.36,0.62399983,-0.36
129,0.03110172365882611,0.03401508059545553,1.6817021276595745,1.6817021276595745,4.539307250276397,-1.6135184686496757,0.63199985,-0.39000002,0.63199985,-0.39000002,0.63199985,-0.39000002
130,0.03152643312086107,0.03448310365166163,1.6815602836879433,1.6815602836879433,4.539307250276397,-1.6135184686496757,0.63999987,-0.42000002,0.63999987,-0.42000002,0.63999987,-0.42000002
131,0.031956703460777634,0.03495688328311277,1.681418439716312,1.681418439716312,4.539307250276397,-1.6135184686496757,0.6479999,-0.45000002,0.6479999,-0.45000002,0.6479999,-0.45000002
132,0.03239255361824682,0.0354364021473208,1.681276595744681,1.681276595744681,4.539307250276397,-1.6135184686496757,0.6559999,-0.48000002,0.6559999,-0.48000002,0.6559999,-0.48000002
133,0.032834003046580754,0.035921642396504944,1.6811347517730495,1.6811347517730495,4.539307250276397,-1.6135184686496757,0.6639999,-0.51,0.6639999,-0.51,0.6639999,-0.51
134,0.0332810717106949,0.03641258567538674,1.6809929078014183,1.6809929078014183,4.539307250276397,-1.6135184686496757,0.67199993,-0.53999996,0.67199993,-0.53999996,0.67199993,-0.53999996
135,0.03373378008498358,0.03690921311891789,1.680851063829787,1.680851063829787,4.539307250276397,-1.6135184686496757,0.67999995,-0.56999993,0.67999995,-0.56999993,0.67999995,-0.56999993
136,0.034192149151133965,0.03741150534991812,1.680709219858156,1.680709219858156,4.539307250276397,-1.6135184686496757,0.68799996,-0.5999999,0.68799996,-0.5999999,0.68799996,-0.5999999
137,0.03465620039586115,0.03791944247663883,1.6805673758865247,1.6805673758865247,4.539307250276397,-1.6135184686496757,0.696,-0.6299999,0.696,-0.6299999,0.696,-0.6299999
138,0.03512595580856118,0.038433004090255476,1.6804255319148935,1.6804255319148935,4.539307250276397,-1.6135184686496757,0.704,-0.65999985,0.704,-0.65999985,0.704,-0.65999985
