Step,u_nom_v,u_nom_w,u_safety_v,u_safety_w,x,y
0,1.5127534524384827,2.94165683324397,0.9230769230769231,2.94165683324397,0.0,0.0
1,1.5127534524384827,2.94165683324397,0.9230794452336649,2.9416577404351596,8e-06,0.0
2,1.5127534524384827,2.94165683324397,0.9230844924732515,2.941659554811212,2.3999999992799997e-05,4.79999999928e-10
3,1.5127534524384827,2.94165683324397,0.9230920706840442,2.9416622763666522,4.799999989559999e-05,2.6399999970120003e-09
4,1.5127534524384827,2.94165683324397,0.9231021887165921,2.941665905096696,7.999999937719999e-05,8.399999965908e-09
5,1.5127534524384827,2.94165683324397,0.9231148583835386,2.941670440997008,0.00011999999757720002,2.0399999785908e-08
6,1.5127534524384827,2.94165683324397,0.9231300944595133,2.941675884063384,0.0001679999927172001,4.1999999056908e-08
7,1.5127534524384827,2.94165683324397,0.9231479146810047,2.941682234291345,0.00022399998160400048,7.727999672313605e-08
8,1.5127534524384827,2.94165683324397,0.9231683397462206,2.9416894916756586,0.0002879999590248018,1.3103999040096026e-07
9,1.5127534524384827,2.94165683324397,0.9231913933149366,2.941697656209774,0.0003599999170344059,2.0879997528441715e-07
10,1.5127534524384827,2.94165683324397,0.9232171020083381,2.9417067278851783,0.000439999844134417,3.1679994247942015e-07
11,1.5127534524384827,2.94165683324397,0.9232454954088547,2.9417167066906744,0.0005279997243444442,4.6199987659492916e-07
12,1.5127534524384827,2.94165683324397,0.9232766060599982,2.9417275926115733,0.0006239995361653057,6.520797523966816e-07
13,1.5127534524384827,2.94165683324397,0.923310469466204,2.9417393856288125,0.0007279992514342356,8.954395303064065e-07
14,1.5127534524384827,2.94165683324397,0.9233471240926826,2.941752085717986,0.0008399988340720949,1.2011991505067643e-06
15,1.5127534524384827,2.94165683324397,0.9233866113652841,2.9417656928482985,0.0009599982387225873,1.5791985253895747e-06
16,1.5127534524384827,2.94165683324397,0.9234289756703881,2.941780206981438,0.001087997409283483,2.0399975300622197e-06
17,1.5127534524384827,2.94165683324397,0.9234742643548187,2.9417956280703654,0.0012239962773298533,2.5948759906044294e-06
18,1.5127534524384827,2.94165683324397,0.9235225277257962,2.9418119560580256,0.0013679947604293165,3.2558336697449785e-06
