Step,u_nom_v,u_nom_w,u_safety_v,u_safety_w,x,y,obs_x
30,4.379839766730374,-2.0458159490035004,4.379839766730373,-2.0458159490035004,0.0037198921387565902,2.4531246289690065e-05,5.991973244147157
31,4.379839766730374,-2.0458159490035004,4.379839766730375,-2.0458159490035004,0.003967871021546286,2.7767554429303774e-05,5.991705685618729
32,4.379839766730374,-2.0458159490035004,4.379839766730374,-2.0458159490035004,0.004223847277350144,3.1254166629986714e-05,5.991438127090301
33,4.379839766730374,-2.0458159490035004,4.379839766730373,-2.0458159490035004,0.004487820811053168,3.499228170823007e-05,5.991170568561873
34,4.379839766730374,-2.0458159490035004,4.379839766730373,-2.0458159490035004,0.004759791543167666,3.8982378587243275e-05,5.990903010033445
35,4.379839766730374,-2.0458159490035004,4.379839766730375,-2.0458159490035004,0.005039759410632269,4.3224216316698025e-05,5.990635451505017
36,4.379839766730374,-2.0458159490035004,4.379839766730373,-2.0458159490035004,0.005327724367502952,4.771683409094737e-05,5.990367892976589
37,4.379839766730374,-2.0458159490035004,4.379839766730375,-2.0458159490035004,0.005623686385536072,5.2458551265509124e-05,5.990100334448161
38,4.379839766730374,-2.0458159490035004,4.379839766730373,-2.0458159490035004,0.005927645454663401,5.7446967371625884e-05,5.989832775919733
39,4.379839766730374,-2.0458159490035004,4.379839766730374,-2.0458159490035004,0.006239601583359187,6.267896212873631e-05,5.989565217391305
40,4.379839766730374,-2.0458159490035004,4.379839766730375,-2.0458159490035004,0.006559554798899225,6.815069545471526e-05,5.989297658862876
41,4.379839766730374,-2.0458159490035004,4.379839766730375,-2.0458159490035004,0.006887505147511948,7.385760747376276e-05,5.989030100334448
42,4.379839766730374,-2.0458159490035004,4.379839766730373,-2.0458159490035004,0.007223452694421551,7.979441852184487e-05,5.98876254180602
43,4.379839766730374,-2.0458159490035004,4.379839766730374,-2.0458159490035004,0.007567397523783123,8.595512914961173e-05,5.988494983277592
44,4.379839766730374,-2.0458159490035004,4.379839766730373,-2.0458159490035004,0.007919339738509824,9.233302012274108e-05,5.988227424749164
45,4.379839766730374,-2.0458159490035004,4.379839766730375,-2.0458159490035004,0.008279279459992074,9.892065241967815e-05,5.987959866220736
46,4.379839766730374,-2.0458159490035004,4.379839766730373,-2.0458159490035004,0.008647216827708788,0.00010570986722676524,5.987692307692308
47,4.379839766730374,-2.0458159490035004,4.379839766730374,-2.0458159490035004,0.009023151998730616,0.00011269178593077753,5.987424749163879
48,4.379839766730374,-2.0458159490035004,4.379839766730375,-2.0458159490035004,0.009407085147115236,0.00011985681010890362,5.987157190635451
49,4.379839766730374,-2.0458159490035004,4.379839766730373,-2.0458159490035004,0.009799016463194662,0.00012719462151623273,5.986889632107023
50,4.487824408048756,-1.1499774153623312,4.4878244080487555,-1.1499774153623312,0.010198946152754575,0.00013469418207083243,5.986622073578595
51,4.487824408048756,-1.1499774153623312,4.487824408048756,-1.1499774153623312,0.010606874436105685,0.00014234373383652414,5.986354515050167
