Step,u_nom_v,u_nom_w,u_safety_v,u_safety_w,x,y
0,3.9508659181674775,-1.606374739807118,2.324242424242424,-1.606374739807118,0.0,0.0
1,3.9508659181674775,-1.606374739807118,2.3116835805834364,-1.6063996381547714,0.005000000000000001,0.0
2,3.478924007247088,2.9827579388689016,2.2888920646697817,2.9826988766755242,0.014998242238997813,-0.00018748901386499248
3,3.478924007247088,2.9827579388689016,2.2527884808612786,2.982656185063861,0.02997451802664512,-0.001030794137962521
4,2.431192140796567,0.6292530845261122,2.201042065629322,0.6292263843685224,0.04991829438888927,-0.002529388283417368
5,2.431192140796567,0.6292530845261122,2.133443929683807,0.6292095822332158,0.07484801484169445,-0.004402630965235927
6,1.0775458753653009,-1.200580975427446,1.0775458753653009,-1.200580975427446,0.10479533744441824,-0.006179670336884496
7,1.0775458753653009,-1.200580975427446,1.0775458753653009,-1.200580975427446,0.1317084551943465,-0.007352184271334016
8,1.5163206358806556,2.745992387823136,1.516320635880656,2.745992387823136,0.15861790952882,-0.00860596390463036
9,1.5163206358806556,2.745992387823136,1.516320635880655,2.745992387823136,0.1904820278302981,-0.010786589883269249
10,-0.1872684107348616,-0.3862896532986728,-0.18726841073486164,-0.3862896532986728,0.22732669480888487,-0.013419867093832595
11,-0.1872684107348616,-0.3862896532986728,-0.18726841073486167,-0.3862896532986728,0.2592159552754725,-0.015195319623032569
12,0.8769136043146428,1.235569511565403,0.8769136043146428,1.235569511565403,0.2861083024570883,-0.016774040311254894
13,0.8769136043146428,1.235569511565403,0.8769136043146428,1.235569511565403,0.3079958058128136,-0.018271178901957875
14,1.3881422629148974,1.1373696841204781,1.3881422629148978,1.1373696841204781,0.3298802382131437,-0.01956830530691701
15,1.3881422629148974,1.1373696841204781,1.3765487443404312,1.1373621735256805,0.35678984109259265,-0.0204124571558612
16,-0.1803039846191726,0.26555441813264413,-0.18030398461917257,0.26555441813264413,0.38871254460468485,-0.020505843618681727
17,-0.1803039846191726,0.26555441813264413,-0.18030398461917263,0.26555441813264413,0.4156266259462871,-0.019819152267825227
18,1.3411625947773527,1.1262391844047999,1.1508353046275617,1.1261171212103729,0.4375358914317855,-0.019047787061837226
19,1.3411625947773527,1.1262391844047999,1.074978854042115,1.1260789025657214,0.46443517908541176,-0.017921890440830975
20,-0.32996955479353274,2.585177805025212,-0.32996955479353274,2.585177805025212,0.4912489559618238,-0.016116736702072375
21,-0.32996955479353274,2.585177805025212,-0.32996955479353285,2.585177805025212,0.5130240187183369,-0.014033676732233298
22,1.7201051848912055,-1.1340435271239502,0.9015889669780447,-1.1342417482142904,0.5297279914222706,-0.011640962941629697
23,1.7201051848912055,-1.1340435271239502,0.8470813287412007,-1.1340395647623247,0.5511359164392557,-0.007147273660518803
24,0.5414133969563489,5.7803465726956915,0.5414133969563489,5.7803465726956915,0.5716399451345251,-0.0018509029028871407
25,0.5414133969563489,5.7803465726956915,0.5414133969563488,5.7803465726956915,0.5871873609979814,0.002618354722510113
