Step,X_d,Y_d,Theta_d,X,Y,Theta,Cost
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.555157058172883
1.0,0.07017543859649122,0.0,0.0,0.020000000000000004,0.0,0.07500000000000001,15.555157058172883
2.0,0.14035087719298245,0.0,0.0,0.059887552724488306,0.0029971882909096944,0.07500000000000001,15.555157058172883
3.0,0.21052631578947367,0.0,0.0,0.11971888181122076,0.007492970727274236,0.0,15.555157058172883
4.0,0.2807017543859649,0.0,0.0,0.19971888181122077,0.007492970727274236,0.0,15.555157058172883
5.0,0.3508771929824561,0.0,0.0,0.27509782594627896,0.007492970727274236,-0.07500000000000001,15.555157058172883
6.0,0.42105263157894735,0.0,0.0,0.3551418829036195,0.001478384875729561,-0.07500000000000001,15.555157058172883
7.0,0.49122807017543857,0.0,0.0,0.42618263121293004,-0.0038596838817304066,0.0,15.555157058172883
8.0,0.5614035087719298,0.0,0.0,0.5174236509866965,-0.0038596838817304066,0.0,15.555157058172883
9.0,0.631578947368421,0.0,0.0,0.5886646707604629,-0.0038596838817304066,-0.07500000000000001,15.555157058172883
10.0,0.7017543859649122,0.0,0.0,0.6796491954320176,-0.010696346784645221,-0.07500000000000001,15.555157058172883
11.0,0.7719298245614035,0.0,0.0,0.7506899437413281,-0.01603441554210519,0.0,15.555157058172883
12.0,0.8421052631578947,0.0,0.0,0.832685286520322,-0.01603441554210519,0.0,15.555157058172883
13.0,0.9122807017543859,0.0,0.0,0.8946806292993159,-0.01603441554210519,0.05305983682681903,15.555157058172883
14.0,0.9824561403508771,0.0,0.0,0.9423830166093411,-0.0135009566875054,0.031119673653638057,15.555157058172883
15.0,1.0526315789473684,0.0,0.020778479984197955,1.0101198195946592,-0.01139232875125296,0.08417951048045709,15.555157058172883
16.0,1.1228070175438596,0.0,0.04848311996312859,1.0831359187162921,-0.005231309673241683,0.06223934730727612,15.555157058172883
17.0,1.1929824561403508,0.0,0.07618775994205922,1.1702460588085015,0.000197380171945853,0.11529918413409515,15.555157058172883
18.0,1.263157894736842,0.0,0.10389239992098985,1.2370784866143678,0.007937433510759928,0.09335902096091418,15.555157058172883
19.0,1.3333333333333333,0.0,0.1315970398999205,1.284151729666989,0.012344958033357813,0.14641885778773323,15.555157058172883
20.0,1.4035087719298245,0.0,0.15930167987885113,1.3507109696253872,0.022160731475853825,0.12447869461455226,15.555157058172883
21.0,1.4736842105263157,0.0,0.18700631985778177,1.437314783304212,0.0329970886406499,0.17753853144137127,15.555157058172883
22.0,1.543859649122807,0.008771929824561387,0.22748537918503015,1.503536382380069,0.04487907702435377,0.1555983682681903,15.555157058172883
23.0,1.6140350877192982,0.022807017543859633,0.27562909012126924,1.5897610949290442,0.058404834902054586,0.20865820509500932,15.555157058172883
24.0,1.6842105263157894,0.03684210526315788,0.3237728010575083,1.6555809270438402,0.07234153223299002,0.23421458251106678,15.555157058172883
25.0,1.7543859649122806,0.050877192982456125,0.3719165119937474,1.7404770716056497,0.09259719363566801,0.2122598812283767,15.555157058172883
26.0,1.8245614035087718,0.06491228070175437,0.42006022292998646,1.8062462814495088,0.10677086177868793,0.2653051799456866,15.555157058172883
27.0,1.894736842105263,0.07894736842105261,0.46820393386622555,1.8904717387756835,0.1296557807979099,0.2773082520800316,15.555157058172883
28.0,1.9649122807017543,0.09298245614035086,0.5163476448024646,1.9551805293886535,0.14807463661255882,0.3643113242143767,15.555157058172883
29.0,2.0350877192982457,0.12105263157894744,0.557610985402294,2.0196050892048385,0.17264184931912063,0.3763143963487217,15.555157058172883
30.0,2.1052631578947367,0.16315789473684206,0.5919939556657134,2.102330641007289,0.20533047173534769,0.46331746848306676,15.555157058172883
31.0,2.1754385964912277,0.20526315789473665,0.6263769259291329,2.164011373627362,0.23614538810923502,0.4753205406174118,15.555157058172883
32.0,2.245614035087719,0.24736842105263154,0.6607598961925525,2.2431007198390778,0.27685089476735086,0.5623236127517568,15.555157058172883
33.0,2.3157894736842106,0.28947368421052644,0.6951428664559721,2.3014335110751287,0.3136117069766851,0.5743266848861018,15.555157058172883
34.0,2.3859649122807016,0.331578947368421,0.7295258367193915,2.3761120338514523,0.36193541950414626,0.6613297570204468,15.555157058172883
35.0,2.4561403508771926,0.3736842105263156,0.7639088069828109,2.4305255599641344,0.40428208435113394,0.6733328291547919,15.555157058172883
36.0,2.526315789473684,0.4263157894736841,0.7912222276697586,2.5000618420013954,0.45975071005003787,0.7033401934199766,15.555157058172883
37.0,2.5964912280701755,0.49649122807017554,0.8067530657292528,2.5831563244808047,0.5302160280921905,0.7245813320359562,15.555157058172883
38.0,2.6666666666666665,0.5666666666666665,0.8222839037887468,2.649759871296633,0.5891738987121707,0.6708224706519359,15.555157058172883
39.0,2.7368421052631575,0.6368421052631575,0.8378147418482409,2.709896435239046,0.636897900363113,0.6920636092679155,15.555157058172883
40.0,2.807017543859649,0.707017543859649,0.8533455799077351,2.7844044135919046,0.6986509567799678,0.7883047478838953,15.555157058172883
41.0,2.8771929824561404,0.7771929824561404,0.8688764179672293,2.8662383988516433,0.7809620449070989,0.8095458864998749,15.555157058172883
42.0,2.9473684210526314,0.8473684210526314,0.8844072560267233,2.9325091284625584,0.8505132014604997,0.8612707544176956,15.555157058172883
43.0,3.014035087719298,0.9175438596491224,0.9034621681931945,2.982065826804453,0.9082242336765701,0.8379956223355164,15.555157058172883
44.0,3.070175438596491,0.9877192982456139,0.9330893026805975,3.046331293757509,0.9796323756380044,0.8897204902533371,15.555157058172883
