Step,X_d,Y_d,Theta_d,X,Y,Theta
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0755813953488372,0.0,0.0,0.020000000000000004,0.0,-0.07500000000000001
2.0,0.1511627906976744,0.0,0.0,0.059887552724488306,-0.0029971882909096944,-0.07500000000000001
3.0,0.22674418604651161,0.0,0.0,0.11971888181122076,-0.007492970727274236,-0.12247756297052054
4.0,0.3023255813953488,0.0,0.0,0.1991196013743618,-0.017266697388862023,-0.09495512594104107
5.0,0.37790697674418605,0.0,0.0,0.29866911621227393,-0.026747947071067188,-0.07443751057427994
6.0,0.45348837209302323,0.0,0.0,0.3784475808143176,-0.03269745005370864,0.021080104792481194
7.0,0.5290697674418605,0.0,0.0,0.47842536309617495,-0.030589595694048587,0.04159772015924233
8.0,0.6046511627906976,0.0,0.0,0.5583561582633063,-0.027262737724417806,0.13711533552600347
9.0,0.6802325581395349,0.0,0.0,0.6204388647321715,-0.01869649564987856,0.1576329508927646
10.0,0.7558139534883721,0.0,0.0,0.6625807249461522,-0.01199797580626152,0.10315056625952573
11.0,0.8313953488372093,0.0,0.0,0.7249185198784036,-0.005544893692770914,-0.02633181837371315
12.0,0.9069767441860465,0.0,0.0,0.8075607708754889,-0.007721517523956397,-0.08081420300695202
13.0,0.9825581395348837,0.0,0.0,0.8700271422833379,-0.01278070608691281,-0.060296587640190885
14.0,1.058139534883721,0.0,0.09132536783691261,0.9525478152700513,-0.01776245989331917,0.03522102772657025
15.0,1.1337209302325582,0.0,0.21004834602489889,1.0551550490384785,-0.014147032539890669,0.05573864309333139
16.0,1.2093023255813953,0.0,0.3287713242128852,1.1376975713279986,-0.009541453830131491,0.15125625846009252
17.0,1.2848837209302324,0.0,0.44749430240087146,1.2391962427558152,0.005929015941169669,0.17177387382685366
18.0,1.3604651162790695,0.0,0.5662172805888578,1.3206504938123527,0.02005998639568245,0.11729148919361479
19.0,1.4360465116279069,0.0,0.6849402587768443,1.393916589844683,0.028693101697413972,0.13780910456037593
20.0,1.5116279069767442,0.0,0.8036632369648306,1.4868005332754186,0.04157500645512699,0.12843908222967687
21.0,1.5872093023255813,0.0,0.9223862151528169,1.5599658405460677,0.051024309054956654,0.19406905989897782
22.0,1.6627906976744187,0.0,1.0411091933408034,1.6127293671210488,0.06139459647641696,0.18469903756827877
23.0,1.7383720930232556,0.0,1.1598321715287894,1.68524757720993,0.07494305443799058,0.2503290152375797
24.0,1.813953488372093,0.0,1.278555149716776,1.737344498532552,0.0882638421976157,0.3909589929068807
25.0,1.8895348837209303,0.0,1.3972781279047626,1.8055508605473212,0.11637689411913217,0.5910230631313915
26.0,1.9651162790697674,0.0,1.5160011060927485,1.8502023804890264,0.14633977723688185,0.8660871333559024
27.0,2.0,0.04069767441860456,1.6347240842807351,1.872080928333167,0.1720680269298722,1.0661512035804133
28.0,2.0,0.1162790697674419,1.7534470624687217,1.898079990235988,0.21913798951755337,1.1912152738049242
29.0,2.0,0.19186046511627888,1.872170040656708,1.9254151913093327,0.2876597983809471,1.241279344029435
30.0,2.0,0.2674418604651162,1.9908930188446943,1.9428153743960508,0.338539718058371,1.3341035563619108
31.0,2.0,0.3430232558139532,2.10961599703268,1.9601143172298041,0.4102558116808362,1.4237638097121763
32.0,2.0,0.41860465116279055,2.228338975220667,1.9679922361301159,0.4634485836675689,1.4384240630624419
33.0,2.0,0.4941860465116279,2.3470619534086534,1.9724497964526824,0.4969260961797596,1.5280843164127074
34.0,2.0,0.5697674418604649,2.4657849315966396,1.9747458499531079,0.5506500269383667,1.5915256767214814
