Step,X_d,Y_d,Theta_d,X,Y,Theta,Cost
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00579933856560364
1.0,0.0,0.0,0.0,0.005000000000000001,0.0,0.025,0.005535834047368108
2.0,0.0,0.0,0.0,0.014996875162757028,0.00024997395914712334,0.025,0.007728723814520831
3.0,0.016016016016016016,0.0,0.0,0.029656138122669196,0.0006165319025652556,0.05,0.006353417084264022
4.0,0.03203203203203203,0.0,0.0,0.043694500006497466,0.0013190355140260696,0.05,0.004962184651653538
5.0,0.04804804804804805,0.0,0.0,0.05742674515503214,0.002006220521090449,0.025,0.008596511911333746
6.0,0.06406406406406406,0.0,0.0,0.0684621098255372,0.0022821621280833346,0.025,0.0006235910733786731
7.0,0.08008008008008008,0.0,0.0,0.08277360255602557,0.0026400240040096536,0.0,0.0009211074149291275
8.0,0.0960960960960961,0.0,0.0,0.09893249868577209,0.0026400240040096536,0.0,0.0002467899962212318
9.0,0.11211211211211211,0.0,0.0,0.1125991396581768,0.0026400240040096536,0.0081994694937078,0.0057199586068275255
10.0,0.11211211211211211,0.0,0.0,0.12647004284891786,0.002753760600470145,-0.0086010610125844,0.004572314231597592
11.0,0.12812812812812813,0.0,0.0,0.14128816281294293,0.0026263059035937703,-0.0004015915188765994,0.00436157054322363
12.0,0.14414414414414414,0.0,0.0,0.15445617196591618,0.0026210177425131627,-0.017202122025168798,0.0015691355933634024
13.0,0.16016016016016016,0.0,0.0,0.16900559464214412,0.0023707121081899497,-0.013385326196219393,0.008913677878347574
14.0,0.17617617617617617,0.0,0.0,0.1815788521741187,0.002202404902958711,-0.03456853036726999,0.01180751841820443
15.0,0.1921921921921922,0.0,0.0,0.19489475201000073,0.0017419103727434437,-0.03075173453832059,0.003067049027054517
16.0,0.2082082082082082,0.0,0.0,0.21046774290204617,0.0012628628745247408,-0.05193493870937119,0.011887251273517882
17.0,0.2082082082082082,0.0,0.0,0.22269095209810819,0.0006274798916687741,-0.04811814288042178,0.005281446873083747
18.0,0.22422422422422422,0.0,0.0,0.23524335123310927,2.3015167629751913e-05,-0.05721875365960523,0.0036384779483026033
19.0,0.24024024024024024,0.0,0.0,0.24889159747466127,-0.0007587738469342099,-0.04131936443878868,0.0014525028343813301
20.0,0.25625625625625625,0.0,0.0,0.2634919896714742,-0.0013623963316884628,-0.018050941003029383,0.0015648745552300067
21.0,0.27227227227227224,0.0,0.0,0.277193556857942,-0.0016097493787520297,-0.019782517567270085,0.0013684135787432735
22.0,0.2882882882882883,0.0,0.0,0.28959369405914936,-0.001855087315776922,0.0034859058684892155,0.005087144549448978
23.0,0.2882882882882883,0.0,0.0,0.3017105928717493,-0.0018128487760102868,0.0017543293042485155,0.0028364543282474795
24.0,0.30430430430430433,0.0,0.0,0.31481447511511457,-0.0017898602278075928,0.025022752740007814,0.002872288110065833
25.0,0.3203203203203203,0.0,0.0,0.328226877018949,-0.001454174946606093,0.023291176175767113,0.0010342198292250166
26.0,0.3363363363363363,0.0,0.0,0.343000391233095,-0.0011100201898285786,-0.0020172732564789665,0.0003180209696252339
27.0,0.35235235235235235,0.0,0.0,0.3556831511829239,-0.0011356048169983409,-0.0023257226887250437,0.000623061788742611
28.0,0.3683683683683684,0.0,0.0,0.37195691105182854,-0.0011734531377966863,-0.016259247081696068,0.001072670877690372
29.0,0.3843843843843844,0.0,0.0,0.38450864391355266,-0.001377552849494454,-0.030488590968798284,0.014958322468979624
