0.0000,0.0000,0.0000
0.0762,0.0000,0.0000
0.1524,0.0000,0.0000
0.2286,0.0000,0.0000
0.3048,0.0000,0.0000
0.3810,0.0000,0.0000
0.4571,0.0000,0.0000
0.5333,0.0000,0.0000
0.6095,0.0000,0.0000
0.6857,0.0000,0.0000
0.7619,0.0000,0.0000
0.8381,0.0000,0.0000
0.9143,0.0000,0.0000
0.9905,0.0000,0.0000
1.0471,0.0471,0.7854
1.1010,0.1010,0.7854
1.1549,0.1549,0.7854
1.2088,0.2088,0.7854
1.2626,0.2626,0.7854
1.3165,0.3165,0.7854
1.3704,0.3704,0.7854
1.4243,0.4243,0.7854
1.4781,0.4781,0.7854
1.5320,0.5320,0.7854
1.5859,0.5859,0.7854
1.6398,0.6398,0.7854
1.6936,0.6936,0.7854
1.7071,0.7642,1.5708
1.7071,0.8404,1.5708
1.7071,0.9166,1.5708
1.7071,0.9928,1.5708
1.7071,1.0690,1.5708
1.7071,1.1452,1.5708
1.7071,1.2214,1.5708
1.7071,1.2976,1.5708
1.7071,1.3738,1.5708
1.7071,1.4500,1.5708
1.7071,1.5262,1.5708
1.7071,1.6023,1.5708
1.7071,1.6785,1.5708
1.6734,1.7408,2.3562
1.6196,1.7947,2.3562
1.5657,1.8485,2.3562
1.5118,1.9024,2.3562
1.4579,1.9563,2.3562
1.4041,2.0102,2.3562
1.3502,2.0640,2.3562
1.2963,2.1179,2.3562
1.2424,2.1718,2.3562
1.1886,2.2257,2.3562
1.1347,2.2795,2.3562
1.0808,2.3334,2.3562
1.0269,2.3873,2.3562
0.9619,2.4142,3.1416
0.8857,2.4142,3.1416
0.8095,2.4142,3.1416
0.7333,2.4142,3.1416
0.6571,2.4142,3.1416
0.5810,2.4142,3.1416
0.5048,2.4142,3.1416
0.4286,2.4142,3.1416
0.3524,2.4142,3.1416
0.2762,2.4142,3.1416
0.2000,2.4142,3.1416
0.1238,2.4142,3.1416
0.0476,2.4142,3.1416
-0.0202,2.3940,3.9270
-0.0741,2.3401,3.9270
-0.1280,2.2863,3.9270
-0.1818,2.2324,3.9270
-0.2357,2.1785,3.9270
-0.2896,2.1246,3.9270
-0.3435,2.0708,3.9270
-0.3973,2.0169,3.9270
-0.4512,1.9630,3.9270
-0.5051,1.9091,3.9270
-0.5590,1.8553,3.9270
-0.6128,1.8014,3.9270
-0.6667,1.7475,3.9270
-0.7071,1.6881,4.7124
-0.7071,1.6119,4.7124
-0.7071,1.5357,4.7124
-0.7071,1.4595,4.7124
-0.7071,1.3833,4.7124
-0.7071,1.3071,4.7124
-0.7071,1.2309,4.7124
-0.7071,1.1547,4.7124
-0.7071,1.0785,4.7124
-0.7071,1.0023,4.7124
-0.7071,0.9262,4.7124
-0.7071,0.8500,4.7124
-0.7071,0.7738,4.7124
-0.7004,0.7004,5.4978
-0.6465,0.6465,5.4978
-0.5926,0.5926,5.4978
-0.5387,0.5387,5.4978
-0.4849,0.4849,5.4978
-0.4310,0.4310,5.4978
-0.3771,0.3771,5.4978
-0.3232,0.3232,5.4978
-0.2694,0.2694,5.4978
-0.2155,0.2155,5.4978
-0.1616,0.1616,5.4978
-0.1077,0.1077,5.4978
-0.0539,0.0539,5.4978
0.0000,0.0000,5.4978
