Step,dist,comp_time,num_opts
0,0.5717033550018895,0.42387201899964566,0
25,0.5993290772717352,0.22276151700043556,0
50,0.6233243071286885,0.21994320199974027,0
75,0.6446045408955623,0.21887872299976152,0
100,0.6629586232710727,0.2157398170002125,0
125,0.6804104414115076,0.22207697599969833,0
150,0.6943869144922927,0.21929762800027675,0
175,0.7035614188715749,0.22371790200031683,6
200,0.7103020165870589,0.21776129899990337,2
225,0.7162355637328378,0.2184779780000099,3
250,0.71978617835313,0.26399618100003863,58
275,0.7196829123661663,0.3230613320001794,145
300,0.7169633147862875,0.3895643559999371,239
325,0.7139219989880863,0.4574753970000529,331
350,0.7099831821365125,0.7040905599997132,666
375,0.7027700478789101,1.4214746580000792,1676
400,0.6950134519111213,1.2604545459998917,1471
425,0.6922149748927744,1.2402022400001442,1438
450,0.6943945048882003,1.2739860359997692,1480
475,0.7015588843612737,1.0283682059998682,1140
500,0.7136987518126076,0.854704686000332,880
525,0.7286727396071676,0.9155251129996032,990
550,0.7473232595269818,0.7425240849997863,754
575,0.7699949910691104,0.6072795660002157,557
600,0.7937809961555532,0.6383370519997698,599
625,0.8208899774078661,0.6489655499999571,610
650,0.8501350418162231,0.5381224040002053,449
675,0.8802183775318277,0.654621059999954,604
700,0.9103071528129288,0.550840836000134,457
725,0.9403959840864532,0.6042662139998356,541
750,0.9704848661444478,0.7271053829999801,705
775,1.0005737944053976,0.8933703440006866,877
800,1.030662764822788,0.9874174150008912,1019
